,InBallPos,Shirt,Speed,Ts,dist to closest home,dist to closest visitor,zone,inZone,opponentsHalf,distanceToOpponentGoal,distanceToOwnGoal,angleOpponentToPassline,distanceToInPossession,distanceToOpponentRating,angleToPasslineRating,distanceToPossessionRating,distanceToOpponentGoalRating,curPositioningRating,PlayerID,positioningRating
0,0.0,0.0,0.17,0.0,27.547,46.246,0.0,0,0,98.5926583270783,6.450757784942786,,,,,,,,['1235.0'],
1,0.0,0.0,0.22,0.0,10.748,18.682,0.0,0,0,67.9544832443011,42.09384507264691,,20.65303488594352,,,,,,['1.0'],6.027192878024455
2,0.0,0.0,0.29,0.0,10.991,20.488000000000003,0.0,0,0,72.2089748230786,33.76279083547449,,20.487375722624897,,,,,,['1241.0'],4.362333410412618
3,0.0,0.0,0.18,0.0,7.392,19.975,0.0,0,0,74.03118630009924,34.18605775751278,,24.21974368155039,,,,,,['1261.0'],2.735589204997403
4,0.0,0.0,0.13,0.0,11.959,18.418,0.0,0,0,75.59924923569017,42.23300232046024,,32.00341147440379,,,,,,['1554.0'],2.0866403947447987
5,0.0,0.0,0.29,0.0,8.482000000000001,9.491,0.0,0,0,61.68390652350092,43.441734818029545,,9.489790145203422,,,,,,['1226.0'],3.9761308103799444
6,0.0,28.0,0.13,0.0,7.392,19.42,0.0,0,0,71.53305334598825,33.99320109963167,,19.760555913232807,,,,,,['28.0'],3.3205623379797626
7,0.0,30.0,0.13,0.0,10.523,6.9220000000000015,0.0,0,0,59.33692278000267,46.77831126708188,,10.392587069637667,,,,,,['30.0'],3.5364630553935945
8,0.0,0.0,0.4,0.0,11.959,7.218,0.0,0,0,63.72147758016916,48.903544912408954,,22.193458946275143,,,,,,['1210.0'],4.303121081364276
9,0.0,0.0,0.49,0.0,5.754,10.5,0.0,0,0,58.08483480220977,48.74133804072268,,10.500206902723393,,,,,,['1182.0'],7.19230612267987
10,0.0,0.0,0.64,0.0,5.754,7.282,0.0,0,0,52.445619931506194,53.697979943383345,,7.281775950961414,,,,,,['1244.0'],7.174377790232624
11,0.0,1.0,0.05,0.0,40.609,24.381,0.0,0,0,92.93248422376323,12.071728293827688,,,,,,,,['-1.0'],
12,0.0,6.0,0.08,0.0,22.712,11.681,0.0,0,0,69.48286535542412,38.49595534598408,,20.164989585913503,,,,,,['-6.0'],4.211355179888552
13,0.0,5.0,0.15,0.0,17.427,7.652,0.0,0,0,68.55190887203653,36.45070932094463,,15.935061750743232,,,,,,['-5.0'],4.494767665031989
14,0.0,4.0,0.22,0.0,12.819,8.288,0.0,0,0,66.43968187762492,39.876701568710516,,15.308284587111649,,,,,,['-4.0'],4.697413940652489
15,0.0,2.0,0.42,0.0,10.688,12.612,0.0,0,0,60.16709792735561,50.55491739682699,,17.68957777902005,,,,,,['-2.0'],6.79439554472321
16,0.0,3.0,0.67,0.0,12.488,11.718,0.0,0,0,59.84216622081791,61.679128220168614,,31.11022939484696,,,,,,['-3.0'],5.93494045537365
17,0.0,11.0,0.24,0.0,9.511,3.624,0.0,0,0,56.2449682193883,50.705881808721166,,10.989302662134662,,,,,,['-11.0'],4.173250882831657
