,PlayerID,TeamID,Ts,X,Y,Acceleration,Snelheid,Ts,TeamCentXA,TeamCentYA,LengthA,WidthA,TeamCentXB,TeamCentYB,LengthB,WidthB,distToCent,SpreadA,stdSpreadA,SpreadB,stdSpreadB,SurfaceA,SumVerticesA,ShapeRatioA,SurfaceB,SumVerticesB,ShapeRatioB,vNorm,distFrame,avgRelSpeedPlayerBall,control,distToBall,InPossession,ballPosession
49,ball,,5.1000000000000005,7.6320000000000014,-14.169,-3.43,14.3,5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,0,
50,ball,,5.2,8.752,-14.993,-2.79,14.01,5.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
51,ball,,5.3,9.844,-15.796,-2.97,13.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
52,ball,,5.4,10.941,-16.602999999999998,-2.62,13.41,5.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
53,ball,,5.5,11.985,-17.37,1.31,13.52,5.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
54,ball,,5.6000000000000005,13.028,-18.136,3.89,13.51,5.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,0,
55,ball,,5.7,14.097,-18.921,0.3,13.12,5.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
56,ball,,5.8,15.115,-19.67,12.94,14.53,5.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
57,ball,,5.9,16.11,-20.405,11.32,15.74,5.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
58,ball,,6.0,16.695,-21.715,9.13,16.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
59,ball,,6.1000000000000005,17.673,-20.772,5.17,17.47,6.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,0,
60,ball,,6.2,19.064,-18.046,2.05,17.86,6.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
61,ball,,6.3,20.265,-15.553,-2.55,17.83,6.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
62,ball,,6.4,21.375,-13.232,-8.91,17.22,6.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
63,ball,,6.5,22.363000000000003,-11.148,-13.7,15.87,6.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
64,ball,,6.6000000000000005,23.224,-9.335,-9.97,14.92,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,0,
65,ball,,6.7,23.949,-7.78,-2.2,14.89,6.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
66,ball,,6.8,24.465,-6.651,-10.09,13.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
67,ball,,6.9,24.71,-6.084,-14.77,12.87,6.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
68,ball,,7.0,24.729,-5.966,-21.92,10.56,7.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
69,ball,,7.1000000000000005,24.492,-6.358,-12.67,8.55,7.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,0,
