Timestamp,X,Y,Snelheid,Acceleration,dist to closest home,dist to closest visitor,Naam,Shirt,
300,,,0,0,0,0,23_XX0001,23,
300,,,0,0,0,0,11_XX0001,11,
300,1.37,10.392,1.91,3.26,9.805,5.091,14_XX0001,14,
300,5.085,-20.587,2.75,4.33,15.725,10.487,17_XX0001,17,
300,45.126,-0.683,0.3,0.32,44.099,23.922,26_XX0002,26,
300,14.845,19.174,0.99,1.57,16.084,14.64,02_XX0002,2,
300,21.444,2.695,0.62,1.33,20.507,12.475,03_XX0002,3,
300,20.671,-12.593,0.53,0.79,17.516,12.146,05_XX0002,5,
300,18.43,-25.665,0.69,1.02,14.278,13.262,06_XX0002,6,
300,0.407,21.604,0.91,1.63,5.709,14.598,04_XX0002,4,
300,-2.857,-8.567,2.98,4.88,8.68,11.727,08_XX0002,8,
300,-2.706,7.342,2.98,3.89,5.091,12.578,10_XX0002,10,
300,,,0,0,0,0,23_XX0002,23,
300,8.969,2.662,0.18,0.56,8.19,12.475,07_XX0002,7,
300,-21.217,2.027,0.33,0.75,13.563,19.26,09_XX0002,9,
300,8.668,-10.731,0.64,1.4,10.487,11.727,11_XX0002,11,
300,,,0,0,0,0,21_XX0002,21,
300,,,0,0,0,0,25_XX0002,25,
300,0,0,0,,,,,,
300,0,0,0,,,,,,
400,-11.058,2.084,11.32,10.29,5.863,9.472,ball,5,
400,-49.106,1.325,0.01,0.01,32.871,27.865,01_XX0001,1,
400,,,0,0,0,0,03_XX0001,3,
400,-10.407,-22.467,1.13,1.86,13.715,15.732,04_XX0001,4,
400,-18.938,-11.728,0.9,1.15,13.715,13.952,05_XX0001,5,
400,-5.193,22.768,0.1,0.22,14.159,5.669,15_XX0001,15,
400,-8.789,7.49,0.71,1.1,10.779,5.754,29_XX0001,29,
400,1.2,0.572,1.59,2.6,1.397,7.818,06_XX0001,6,
400,0.628,-0.703,1.29,1.93,1.397,8.657,10_XX0001,10,
400,,,0,0,0,0,18_XX0001,18,
400,,,0,0,0,0,23_XX0001,23,
400,,,0,0,0,0,11_XX0001,11,
400,1.604,10.347,2.24,3.31,9.784,5.651,14_XX0001,14,
400,5.434,-20.544,3.18,4.33,15.958,10.28,17_XX0001,17,
400,45.165,-0.662,0.33,0.28,43.983,24.006,26_XX0002,26,
400,14.748,19.093,1.15,1.6,15.787,14.614,02_XX0002,2,
400,21.403,2.747,0.75,1.39,20.32,12.449,03_XX0002,3,
400,20.734,-12.621,0.61,0.78,17.23,12.185,05_XX0002,5,
400,18.386,-25.735,0.78,0.87,13.953,13.323,06_XX0002,6,
400,0.336,21.516,1.08,1.68,5.669,14.614,04_XX0002,4,
400,-3.222,-8.472,3.47,4.91,8.671,12.133,08_XX0002,8,
400,-3.046,7.137,3.35,3.49,5.651,12.804,10_XX0002,10,
400,,,0,0,0,0,23_XX0002,23,
400,8.954,2.669,0.24,0.74,8.033,12.449,07_XX0002,7,
400,-21.25,2.031,0.41,0.79,13.604,18.906,09_XX0002,9,
400,8.687,-10.793,0.78,1.42,10.28,12.133,11_XX0002,11,
400,,,0,0,0,0,21_XX0002,21,
400,,,0,0,0,0,25_XX0002,25,
400,0,0,0,,,,,,
400,0,0,0,,,,,,
500,-12.401,2.188,12.32,9.74,6.47,8.88,ball,5,
500,-49.107,1.325,0.01,0.01,32.795,27.836,01_XX0001,1,
500,,,0,0,0,0,03_XX0001,3,
500,-10.275,-22.473,1.33,1.73,13.833,15.585,04_XX0001,4,
500,-19.041,-11.772,1.01,0.85,13.833,14.001,05_XX0001,5,
500,-5.203,22.778,0.13,0.25,14.347,5.624,15_XX0001,15,
500,-8.81,7.571,0.82,0.82,11.024,5.429,29_XX0001,29,
500,1.387,0.529,1.85,2.36,1.529,7.846,06_XX0001,6,
500,0.693,-0.834,1.49,1.53,1.529,8.694,10_XX0001,10,
500,,,0,0,0,0,18_XX0001,18,
500,,,0,0,0,0,23_XX0001,23,
500,,,0,0,0,0,11_XX0001,11,
500,1.871,10.296,2.57,2.79,9.779,6.268,14_XX0001,14,
500,5.824,-20.502,3.61,3.43,16.219,10.049,17_XX0001,17,
500,45.199,-0.634,0.35,0.13,43.827,24.1,26_XX0002,26,
500,14.641,19.011,1.31,1.25,15.46,14.587,02_XX0002,2,
500,21.346,2.809,0.9,1.28,20.089,12.413,03_XX0002,3,
500,20.802,-12.651,0.68,0.57,16.912,12.237,05_XX0002,5,
500,18.323,-25.816,0.86,0.62,13.582,13.396,06_XX0002,6,
500,0.253,21.413,1.25,1.47,5.624,14.587,04_XX0002,4,
500,-3.636,-8.373,3.96,4.03,8.694,12.581,08_XX0002,8,
500,-3.419,6.934,3.67,1.84,5.429,13.066,10_XX0002,10,
500,,,0,0,0,0,23_XX0002,23,
500,8.934,2.677,0.33,0.97,7.846,12.413,07_XX0002,7,
500,-21.281,2.049,0.49,0.66,13.638,18.518,09_XX0002,9,
500,8.695,-10.872,0.92,1.2,10.049,12.237,11_XX0002,11,
500,,,0,0,0,0,21_XX0002,21,
500,,,0,0,0,0,25_XX0002,25,
500,0,0,0,,,,,,
500,0,0,0,,,,,,
600,-13.652,2.289,12.43,-7.47,7.218,7.658,ball,5,
600,-49.109,1.325,0.01,0,32.71,27.812,01_XX0001,1,
600,,,0,0,0,0,03_XX0001,3,
600,-10.135,-22.485,1.47,1.39,13.971,15.442,04_XX0001,4,
600,-19.154,-11.815,1.06,0.43,13.971,14.064,05_XX0001,5,
600,-5.213,22.785,0.15,0.27,14.554,5.574,15_XX0001,15,
600,-8.833,7.662,0.87,0.4,11.293,5.11,29_XX0001,29,
600,1.6,0.463,2.06,1.99,1.674,7.639,06_XX0001,6,
600,0.753,-0.98,1.59,0.94,1.674,8.755,10_XX0001,10,
600,,,0,0,0,0,18_XX0001,18,
600,,,0,0,0,0,23_XX0001,23,
600,,,0,0,0,0,11_XX0001,11,
600,2.162,10.238,2.79,2.01,9.791,6.917,14_XX0001,14,
600,6.238,-20.462,3.85,2.14,16.497,9.801,17_XX0001,17,
600,45.221,-0.6,0.35,-0.02,43.634,24.197,26_XX0002,26,
600,14.527,18.927,1.39,0.79,15.112,14.562,02_XX0002,2,
600,21.276,2.88,1.01,1.11,19.823,12.369,03_XX0002,3,
600,20.871,-12.686,0.72,0.3,16.571,12.304,05_XX0002,5,
600,18.242,-25.9,0.91,0.43,13.178,13.473,06_XX0002,6,
600,0.16,21.302,1.37,1.09,5.574,14.562,04_XX0002,4,
600,-4.084,-8.278,4.26,2.71,8.755,13.052,08_XX0002,8,
600,-3.806,6.742,3.7,-0.3,5.11,13.345,10_XX0002,10,
600,,,0,0,0,0,23_XX0002,23,
600,8.908,2.686,0.44,1.14,7.639,12.369,07_XX0002,7,
600,-21.307,2.083,0.54,0.47,13.665,18.111,09_XX0002,9,
600,8.687,-10.972,1.02,0.89,9.801,12.304,11_XX0002,11,
600,,,0,0,0,0,21_XX0002,21,
600,,,0,0,0,0,25_XX0002,25,
600,0,0,0,,,,,,
600,0,0,0,,,,,,
700,-14.825,2.378,11.76,-7.33,8.04,6.51,ball,5,
700,-49.111,1.325,0.01,0,32.623,27.793,01_XX0001,1,
700,,,0,0,0,0,03_XX0001,3,
700,-9.989,-22.509,1.6,1.21,14.128,15.311,04_XX0001,4,
700,-19.27,-11.857,1.09,0.21,14.128,14.145,05_XX0001,5,
700,-5.224,22.787,0.18,0.31,14.773,5.516,15_XX0001,15,
700,-8.855,7.764,0.9,0.04,11.577,4.818,29_XX0001,29,
700,1.828,0.379,2.25,1.84,1.832,7.417,06_XX0001,6,
700,0.806,-1.141,1.67,0.68,1.832,8.858,10_XX0001,10,
700,,,0,0,0,0,18_XX0001,18,
700,,,0,0,0,0,23_XX0001,23,
700,,,0,0,0,0,11_XX0001,11,
700,2.468,10.174,2.97,1.64,9.816,7.576,14_XX0001,14,
700,6.665,-20.422,4.04,1.52,16.784,9.543,17_XX0001,17,
700,45.229,-0.565,0.35,-0.03,43.377,24.294,26_XX0002,26,
700,14.408,18.839,1.47,0.67,14.753,14.543,02_XX0002,2,
700,21.193,2.961,1.12,1.04,19.536,12.322,03_XX0002,3,
700,20.938,-12.727,0.74,0.19,16.216,12.386,05_XX0002,5,
700,18.147,-25.973,0.95,0.42,12.754,13.537,06_XX0002,6,
700,0.056,21.189,1.46,0.83,5.516,14.543,04_XX0002,4,
700,-4.552,-8.195,4.5,2.05,8.858,13.527,08_XX0002,8,
700,-4.19,6.56,3.61,-1.43,4.818,13.623,10_XX0002,10,
700,,,0,0,0,0,23_XX0002,23,
700,8.874,2.697,0.56,1.29,7.417,12.322,07_XX0002,7,
700,-21.33,2.137,0.58,0.4,13.685,17.701,09_XX0002,9,
700,8.661,-11.09,1.1,0.72,9.543,12.386,11_XX0002,11,
700,,,0,0,0,0,21_XX0002,21,
700,,,0,0,0,0,25_XX0002,25,
700,0,0,0,,,,,,
700,0,0,0,,,,,,
800,-15.951,2.467,10.95,-10.25,8.905,5.403,ball,5,
800,-49.112,1.325,0.01,0,32.537,27.779,01_XX0001,1,
800,,,0,0,0,0,03_XX0001,3,
800,-9.837,-22.553,1.71,0.98,14.305,15.204,04_XX0001,4,
800,-19.384,-11.901,1.1,-0.01,14.305,14.242,05_XX0001,5,
800,-5.236,22.782,0.22,0.34,15.002,5.451,15_XX0001,15,
800,-8.875,7.873,0.88,-0.35,11.868,4.566,29_XX0001,29,
800,2.064,0.283,2.43,1.65,2.005,7.187,06_XX0001,6,
800,0.855,-1.316,1.73,0.42,2.005,8.933,10_XX0001,10,
800,,,0,0,0,0,18_XX0001,18,
800,,,0,0,0,0,23_XX0001,23,
800,,,0,0,0,0,11_XX0001,11,
800,2.782,10.102,3.12,1.25,9.846,8.224,14_XX0001,14,
800,7.095,-20.383,4.16,0.89,17.071,9.29,17_XX0001,17,
800,45.224,-0.532,0.35,-0.06,42.987,24.388,26_XX0002,26,
800,14.285,18.747,1.53,0.58,14.389,14.531,02_XX0002,2,
800,21.101,3.05,1.22,0.93,19.237,12.278,03_XX0002,3,
800,21.003,-12.771,0.76,0.1,15.854,12.483,05_XX0002,5,
800,18.049,-26.021,0.99,0.35,12.319,13.575,06_XX0002,6,
800,-0.059,21.078,1.53,0.55,5.451,14.531,04_XX0002,4,
800,-5.032,-8.128,4.67,1.34,9.003,13.994,08_XX0002,8,
800,-4.556,6.389,3.42,-2.34,4.566,13.88,10_XX0002,10,
800,,,0,0,0,0,23_XX0002,23,
800,8.828,2.712,0.69,1.36,7.187,12.278,07_XX0002,7,
800,-21.347,2.205,0.62,0.36,13.7,17.304,09_XX0002,9,
800,8.617,-11.218,1.16,0.56,9.29,12.483,11_XX0002,11,
800,,,0,0,0,0,21_XX0002,21,
800,,,0,0,0,0,25_XX0002,25,
800,0,0,0,,,,,,
800,0,0,0,,,,,,
900,-17.005,2.548,9.62,-13.43,9.766,4.362,ball,5,
900,-49.114,1.325,0.01,0,32.456,27.772,01_XX0001,1,
900,,,0,0,0,0,03_XX0001,3,
900,-9.676,-22.625,1.8,0.81,14.507,15.128,04_XX0001,4,
900,-19.494,-11.945,1.09,-0.19,14.507,14.349,05_XX0001,5,
900,-5.252,22.771,0.25,0.36,15.228,5.376,15_XX0001,15,
900,-8.892,7.984,0.83,-0.69,12.166,4.366,29_XX0001,29,
900,2.303,0.183,2.58,1.43,2.193,6.948,06_XX0001,6,
900,0.899,-1.502,1.76,0.19,2.193,8.934,10_XX0001,10,
900,,,0,0,0,0,18_XX0001,18,
900,,,0,0,0,0,23_XX0001,23,
900,,,0,0,0,0,11_XX0001,11,
900,3.101,10.024,3.23,0.91,9.874,8.847,14_XX0001,14,
900,7.527,-20.345,4.22,0.34,17.354,9.057,17_XX0001,17,
900,45.21,-0.505,0.34,-0.09,42.587,24.481,26_XX0002,26,
900,14.156,18.655,1.58,0.51,14.025,14.527,02_XX0002,2,
900,21.001,3.143,1.3,0.78,18.932,12.242,03_XX0002,3,
900,21.067,-12.817,0.76,0.02,15.492,12.598,05_XX0002,5,
900,17.956,-26.035,1.02,0.2,11.88,13.58,06_XX0002,6,
900,-0.185,20.972,1.57,0.29,5.376,14.527,04_XX0002,4,
900,-5.52,-8.079,4.77,0.67,9.191,14.326,08_XX0002,8,
900,-4.892,6.233,3.16,-2.86,4.366,14.1,10_XX0002,10,
900,,,0,0,0,0,23_XX0002,23,
900,8.766,2.732,0.82,1.27,6.948,12.242,07_XX0002,7,
900,-21.358,2.282,0.65,0.34,13.709,16.934,09_XX0002,9,
900,8.555,-11.347,1.21,0.45,9.057,12.598,11_XX0002,11,
900,,,0,0,0,0,21_XX0002,21,
900,,,0,0,0,0,25_XX0002,25,
900,0,0,0,,,,,,
900,0,0,0,,,,,,
1000,-18,2.625,8.43,-10.85,10.607,3.374,ball,5,
1000,-49.114,1.325,0.01,0.01,32.378,27.77,01_XX0001,1,
1000,,,0,0,0,0,03_XX0001,3,
1000,-9.507,-22.723,1.88,0.72,14.736,15.084,04_XX0001,4,
1000,-19.599,-11.986,1.07,-0.34,14.736,14.146,05_XX0001,5,
1000,-5.27,22.755,0.29,0.37,15.111,5.293,15_XX0001,15,
1000,-8.908,8.088,0.76,-0.64,12.469,4.217,29_XX0001,29,
1000,2.543,0.081,2.71,1.18,2.388,6.702,06_XX0001,6,
1000,0.943,-1.691,1.76,-0.02,2.388,8.932,10_XX0001,10,
1000,,,0,0,0,0,18_XX0001,18,
1000,,,0,0,0,0,23_XX0001,23,
1000,,,0,0,0,0,11_XX0001,11,
1000,3.424,9.941,3.3,0.65,9.899,8.901,14_XX0001,14,
1000,7.957,-20.31,4.23,-0.07,17.63,8.861,17_XX0001,17,
1000,45.189,-0.489,0.33,-0.07,42.179,24.577,26_XX0002,26,
1000,14.02,18.569,1.63,0.44,13.665,14.527,02_XX0002,2,
1000,20.896,3.237,1.37,0.6,18.622,12.219,03_XX0002,3,
1000,21.132,-12.858,0.76,-0.03,15.136,12.728,05_XX0002,5,
1000,17.877,-26.012,1.03,-0.01,11.442,13.55,06_XX0002,6,
1000,-0.323,20.874,1.59,0.09,5.293,14.527,04_XX0002,4,
1000,-6.011,-8.05,4.81,0.13,9.423,14.174,08_XX0002,8,
1000,-5.189,6.1,2.86,-3.06,4.217,14.174,10_XX0002,10,
1000,,,0,0,0,0,23_XX0002,23,
1000,8.686,2.762,0.94,1.07,6.702,12.219,07_XX0002,7,
1000,-21.363,2.361,0.68,0.28,13.709,16.601,09_XX0002,9,
1000,8.48,-11.465,1.25,0.4,8.861,12.728,11_XX0002,11,
1000,,,0,0,0,0,21_XX0002,21,
1000,,,0,0,0,0,25_XX0002,25,
1000,0,0,0,,,,,,
1000,0,0,0,,,,,,
1100,-18.935,2.699,7.36,-10.95,11.414,2.439,ball,5,
1100,-49.115,1.325,0.01,0.03,32.301,27.776,01_XX0001,1,
1100,,,0,0,0,0,03_XX0001,3,
1100,-9.331,-22.84,1.95,0.67,14.987,15.066,04_XX0001,4,
1100,-19.699,-12.017,1.03,-0.45,14.987,13.781,05_XX0001,5,
1100,-5.293,22.734,0.32,0.37,15.003,5.202,15_XX0001,15,
1100,-8.923,8.178,0.7,-0.53,12.78,4.106,29_XX0001,29,
1100,2.786,-0.029,2.82,0.95,2.578,6.454,06_XX0001,6,
1100,0.989,-1.878,1.75,-0.22,2.578,8.923,10_XX0001,10,
1100,,,0,0,0,0,18_XX0001,18,
1100,,,0,0,0,0,23_XX0001,23,
1100,,,0,0,0,0,11_XX0001,11,
1100,3.747,9.852,3.36,0.47,9.928,8.549,14_XX0001,14,
1100,8.385,-20.279,4.21,-0.34,17.901,8.711,17_XX0001,17,
1100,45.165,-0.487,0.33,0.05,41.767,24.676,26_XX0002,26,
1100,13.876,18.493,1.67,0.34,13.314,14.527,02_XX0002,2,
1100,20.786,3.33,1.42,0.41,18.244,12.212,03_XX0002,3,
1100,21.198,-12.894,0.76,-0.07,14.788,12.87,05_XX0002,5,
1100,17.818,-25.955,1.02,-0.17,11.008,13.491,06_XX0002,6,
1100,-0.469,20.789,1.59,-0.04,5.202,14.527,04_XX0002,4,
1100,-6.504,-8.042,4.8,-0.28,9.702,14.084,08_XX0002,8,
1100,-5.44,6.002,2.55,-3.11,4.106,14.084,10_XX0002,10,
1100,,,0,0,0,0,23_XX0002,23,
1100,8.585,2.803,1.04,0.88,6.454,12.212,07_XX0002,7,
1100,-21.361,2.438,0.71,0.16,13.699,16.314,09_XX0002,9,
1100,8.397,-11.569,1.29,0.42,8.711,12.87,11_XX0002,11,
1100,,,0,0,0,0,21_XX0002,21,
1100,,,0,0,0,0,25_XX0002,25,
1100,0,0,0,,,,,,
1100,0,0,0,,,,,,
1200,-19.845,2.87,6.35,-8.67,12.161,1.548,ball,5,
1200,-49.115,1.325,0.02,0.07,32.223,27.79,01_XX0001,1,
1200,,,0,0,0,0,03_XX0001,3,
1200,-9.153,-22.963,2.01,0.57,15.249,15.068,04_XX0001,4,
1200,-19.794,-12.04,0.98,-0.54,15.249,13.407,05_XX0001,5,
1200,-5.319,22.71,0.36,0.33,14.91,5.104,15_XX0001,15,
1200,-8.936,8.245,0.65,-0.44,13.097,4.011,29_XX0001,29,
1200,3.031,-0.158,2.9,0.79,2.753,6.213,06_XX0001,6,
1200,1.038,-2.056,1.72,-0.4,2.753,8.904,10_XX0001,10,
1200,,,0,0,0,0,18_XX0001,18,
1200,,,0,0,0,0,23_XX0001,23,
1200,,,0,0,0,0,11_XX0001,11,
1200,4.073,9.758,3.4,0.34,9.97,8.18,14_XX0001,14,
1200,8.81,-20.252,4.17,-0.48,18.166,8.606,17_XX0001,17,
1200,45.136,-0.496,0.34,0.25,41.351,24.776,26_XX0002,26,
1200,13.722,18.427,1.7,0.23,12.971,14.523,02_XX0002,2,
1200,20.673,3.426,1.45,0.24,17.766,12.222,03_XX0002,3,
1200,21.265,-12.927,0.75,-0.1,14.449,13.016,05_XX0002,5,
1200,17.777,-25.872,0.99,-0.23,10.583,13.406,06_XX0002,6,
1200,-0.619,20.721,1.58,-0.14,5.104,14.523,04_XX0002,4,
1200,-6.994,-8.05,4.76,-0.61,10.022,14.067,08_XX0002,8,
1200,-5.645,5.952,2.24,-3.08,4.011,14.067,10_XX0002,10,
1200,,,0,0,0,0,23_XX0002,23,
1200,8.464,2.856,1.12,0.77,6.213,12.222,07_XX0002,7,
1200,-21.351,2.51,0.72,0.01,13.675,16.078,09_XX0002,9,
1200,8.311,-11.66,1.34,0.47,8.606,13.016,11_XX0002,11,
1200,,,0,0,0,0,21_XX0002,21,
1200,,,0,0,0,0,25_XX0002,25,
1200,0,0,0,,,,,,
1200,0,0,0,,,,,,
1300,-20.477,3.119,5.42,-9.32,12.636,1.012,ball,5,
1300,-49.115,1.325,0.03,0.11,32.146,27.811,01_XX0001,1,
1300,,,0,0,0,0,03_XX0001,3,
1300,-8.977,-23.083,2.06,0.4,15.512,15.089,04_XX0001,4,
1300,-19.886,-12.054,0.92,-0.63,15.512,13.031,05_XX0001,5,
1300,-5.35,22.681,0.39,0.27,14.837,5,15_XX0001,15,
1300,-8.945,8.286,0.61,-0.37,13.416,3.911,29_XX0001,29,
1300,3.28,-0.312,2.98,0.73,2.905,5.99,06_XX0001,6,
1300,1.091,-2.222,1.67,-0.56,2.905,8.874,10_XX0001,10,
1300,,,0,0,0,0,18_XX0001,18,
1300,,,0,0,0,0,23_XX0001,23,
1300,,,0,0,0,0,11_XX0001,11,
1300,4.4,9.658,3.43,0.26,10.033,7.805,14_XX0001,14,
1300,9.228,-20.226,4.11,-0.55,18.428,8.539,17_XX0001,17,
1300,45.103,-0.511,0.38,0.45,40.935,24.875,26_XX0002,26,
1300,13.556,18.372,1.72,0.1,12.639,14.51,02_XX0002,2,
1300,20.558,3.524,1.47,0.1,17.283,12.246,03_XX0002,3,
1300,21.332,-12.96,0.74,-0.1,14.117,13.158,05_XX0002,5,
1300,17.752,-25.771,0.97,-0.19,10.169,13.301,06_XX0002,6,
1300,-0.771,20.672,1.56,-0.23,5,14.51,04_XX0002,4,
1300,-7.479,-8.068,4.68,-0.94,10.374,14.122,08_XX0002,8,
1300,-5.805,5.955,1.93,-3,3.911,14.122,10_XX0002,10,
1300,,,0,0,0,0,23_XX0002,23,
1300,8.327,2.914,1.19,0.74,5.99,12.246,07_XX0002,7,
1300,-21.332,2.578,0.71,-0.08,13.639,15.89,09_XX0002,9,
1300,8.23,-11.746,1.39,0.55,8.539,13.158,11_XX0002,11,
1300,,,0,0,0,0,21_XX0002,21,
1300,,,0,0,0,0,25_XX0002,25,
1300,0,0,0,,,,,,
1300,0,0,0,,,,,,
1400,-20.565,3.104,4.57,-8.72,12.727,0.874,ball,5,
1400,-49.114,1.326,0.04,0.17,32.07,27.841,01_XX0001,1,
1400,,,0,0,0,0,03_XX0001,3,
1400,-8.802,-23.197,2.09,0.18,15.771,15.134,04_XX0001,4,
1400,-19.974,-12.067,0.85,-0.72,15.771,12.66,05_XX0001,5,
1400,-5.382,22.646,0.41,0.25,14.781,4.892,15_XX0001,15,
1400,-8.947,8.302,0.58,-0.28,13.733,3.794,29_XX0001,29,
1400,3.534,-0.491,3.05,0.72,3.042,5.791,06_XX0001,6,
1400,1.147,-2.376,1.61,-0.66,3.042,8.832,10_XX0001,10,
1400,,,0,0,0,0,18_XX0001,18,
1400,,,0,0,0,0,23_XX0001,23,
1400,,,0,0,0,0,11_XX0001,11,
1400,4.729,9.553,3.45,0.21,10.115,7.443,14_XX0001,14,
